NIS;Naam;Inwoners
34027;Menen;33.190
34040;Waregem;38.125
34041;Wevelgem;31.412
34042;Zwevegem;24.619
34043;Spiere-Helkijn;2.087
35000;Arrondissement Oostende;156.468
35002;Bredene;17.828
35005;Gistel;12.063
35006;Ichtegem;13.939
35011;Middelkerke;19.371
35013;Oostende;71.332
35014;Oudenburg;9.300
35029;De Haan;12.635
36000;Arrondissement Roeselare;151.873
36006;Hooglede;9.950
36007;Ingelmunster;10.928
36008;Izegem;27.729
36010;Ledegem;9.716
36011;Lichtervelde;8.793
36012;Moorslede;11.080
36015;Roeselare;62.301
36019;Staden;11.376
37000;Arrondissement Tielt;92.615
37002;Dentergem;8.484
37007;Meulebeke;10.906
37010;Oostrozebeke;7.849
37011;Pittem;6.752
37012;Ruiselede;5.387
37015;Tielt (Tielt);20.422
37017;Wielsbeke;9.584
37018;Wingene;14.243
37020;Ardooie;8.988
38000;Arrondissement Veurne;61.530
38002;Alveringem;5.089
38008;De Panne;11.129
38014;Koksijde;21.957
38016;Nieuwpoort;11.565
38025;Veurne;11.790
40000;Provincie Oost-Vlaanderen;1.505.053
41000;Arrondissement Aalst;289.175
41002;Aalst (Aalst);85.715
41011;Denderleeuw;20.086
41018;Geraardsbergen;33.403
41024;Haaltert;18.443
41027;Herzele;17.723
41034;Lede;18.628
41048;Ninove;38.692
41063;Sint-Lievens-Houtem;10.255
41081;Zottegem;26.373
41082;Erpe-Mere;19.857
42000;Arrondissement Dendermonde;200.307
42003;Berlare;14.849
42004;Buggenhout;14.475
42006;Dendermonde;45.673
42008;Hamme (Dendermonde);24.829
42010;Laarne;12.487
42011;Lebbeke;19.195
42023;Waasmunster;10.768
42025;Wetteren;25.477
42026;Wichelen;11.578
42028;Zele;20.976
43000;Arrondissement Eeklo;84.591
43002;Assenede;14.200
43005;Eeklo;20.890
43007;Kaprijke;6.429
43010;Maldegem;23.689
43014;Sint-Laureins;6.684
43018;Zelzate;12.699
44000;Arrondissement Gent;556.916
44012;De Pinte;10.532
44013;Destelbergen;18.026
44019;Evergem;35.239
44020;Gavere;12.769
44021;Gent;260.341
44034;Lochristi;22.300
44040;Melle;11.574
44043;Merelbeke;24.634
44045;Moerbeke (Gent);6.455
44048;Nazareth;11.574
44052;Oosterzele;13.546
44064;Sint-Martens-Latem;8.468
44073;Wachtebeke;7.683
44081;Zulte;15.720
44083;Deinze;43.264
44084;Aalter;28.784
44085;Lievegem;26.007
45000;Arrondissement Oudenaarde;123.868
45035;Oudenaarde;31.132
45041;Ronse;26.337
45059;Brakel;14.781
45060;Kluisbergen;6.453
45061;Wortegem-Petegem;6.440
45062;Horebeke;2.048
45063;Lierde;6.567
45064;Maarkedal;6.338
45065;Zwalm;8.134
45068;Kruisem;15.638
46000;Arrondissement Sint-Niklaas;250.196
46003;Beveren (Sint-Niklaas);48.192
46013;Kruibeke;16.657
46014;Lokeren;41.438
46020;Sint-Gillis-Waas;19.273
46021;Sint-Niklaas (Sint-Niklaas);76.756
46024;Stekene;18.352
46025;Temse;29.528
50000;Provincie Henegouwen;1.341.645
51000;Arrondissement Aat;127.475
51004;Aat;29.164
