"AGEGROUP","SEX","PROVINCE","POPULATION","REGION","CD_PROV_REFNIS"
"20-29","M","Limburg",49631,"Flanders",70000
"30-39","M","Limburg",54448,"Flanders",70000
"40-49","M","Limburg",57401,"Flanders",70000
"50-59","M","Limburg",67182,"Flanders",70000
"60-69","M","Limburg",58450,"Flanders",70000
"70-79","M","Limburg",36758,"Flanders",70000
"80-89","M","Limburg",18242,"Flanders",70000
"90+","M","Limburg",2345,"Flanders",70000
"All","M","Limburg",436771,"Flanders",70000
"0-9","All","Limburg",87898,"Flanders",70000
"10-19","All","Limburg",91981,"Flanders",70000
"20-29","All","Limburg",97756,"Flanders",70000
"30-39","All","Limburg",108945,"Flanders",70000
"40-49","All","Limburg",114312,"Flanders",70000
"50-59","All","Limburg",132390,"Flanders",70000
"60-69","All","Limburg",116539,"Flanders",70000
"70-79","All","Limburg",76119,"Flanders",70000
"80-89","All","Limburg",43621,"Flanders",70000
"90+","All","Limburg",7809,"Flanders",70000
"All","All","Limburg",877370,"Flanders",70000
"0-9","F","Luxembourg",16041,"Wallonia",80000
"10-19","F","Luxembourg",17804,"Wallonia",80000
"20-29","F","Luxembourg",17508,"Wallonia",80000
"30-39","F","Luxembourg",18239,"Wallonia",80000
"40-49","F","Luxembourg",18761,"Wallonia",80000
"50-59","F","Luxembourg",19328,"Wallonia",80000
"60-69","F","Luxembourg",16359,"Wallonia",80000
"70-79","F","Luxembourg",10693,"Wallonia",80000
"80-89","F","Luxembourg",7380,"Wallonia",80000
"90+","F","Luxembourg",1929,"Wallonia",80000
"All","F","Luxembourg",144042,"Wallonia",80000
"0-9","M","Luxembourg",16813,"Wallonia",80000
"10-19","M","Luxembourg",18633,"Wallonia",80000
"20-29","M","Luxembourg",18769,"Wallonia",80000
"30-39","M","Luxembourg",18797,"Wallonia",80000
"40-49","M","Luxembourg",19273,"Wallonia",80000
"50-59","M","Luxembourg",19825,"Wallonia",80000
"60-69","M","Luxembourg",15888,"Wallonia",80000
"70-79","M","Luxembourg",9452,"Wallonia",80000
"80-89","M","Luxembourg",4560,"Wallonia",80000
"90+","M","Luxembourg",700,"Wallonia",80000
"All","M","Luxembourg",142710,"Wallonia",80000
"0-9","All","Luxembourg",32854,"Wallonia",80000
"10-19","All","Luxembourg",36437,"Wallonia",80000
"20-29","All","Luxembourg",36277,"Wallonia",80000
"30-39","All","Luxembourg",37036,"Wallonia",80000
"40-49","All","Luxembourg",38034,"Wallonia",80000
"50-59","All","Luxembourg",39153,"Wallonia",80000
"60-69","All","Luxembourg",32247,"Wallonia",80000
"70-79","All","Luxembourg",20145,"Wallonia",80000
"80-89","All","Luxembourg",11940,"Wallonia",80000
"90+","All","Luxembourg",2629,"Wallonia",80000
"All","All","Luxembourg",286752,"Wallonia",80000
"0-9","F","Namur",26139,"Wallonia",90000
"10-19","F","Namur",28951,"Wallonia",90000
"20-29","F","Namur",30030,"Wallonia",90000
"30-39","F","Namur",31847,"Wallonia",90000
"40-49","F","Namur",31914,"Wallonia",90000
"50-59","F","Namur",34651,"Wallonia",90000
"60-69","F","Namur",31203,"Wallonia",90000
"70-79","F","Namur",21381,"Wallonia",90000
"80-89","F","Namur",13166,"Wallonia",90000
"90+","F","Namur",3531,"Wallonia",90000
"All","F","Namur",252813,"Wallonia",90000
"0-9","M","Namur",27032,"Wallonia",90000
"10-19","M","Namur",30217,"Wallonia",90000
"20-29","M","Namur",31216,"Wallonia",90000
"30-39","M","Namur",31649,"Wallonia",90000
"40-49","M","Namur",32246,"Wallonia",90000
"50-59","M","Namur",34190,"Wallonia",90000
"60-69","M","Namur",29481,"Wallonia",90000
"70-79","M","Namur",17936,"Wallonia",90000
"80-89","M","Namur",7888,"Wallonia",90000
"90+","M","Namur",1164,"Wallonia",90000
"All","M","Namur",243019,"Wallonia",90000
"0-9","All","Namur",53171,"Wallonia",90000
"10-19","All","Namur",59168,"Wallonia",90000
"20-29","All","Namur",61246,"Wallonia",90000
"30-39","All","Namur",63496,"Wallonia",90000
"40-49","All","Namur",64160,"Wallonia",90000
"50-59","All","Namur",68841,"Wallonia",90000
"60-69","All","Namur",60684,"Wallonia",90000
"70-79","All","Namur",39317,"Wallonia",90000
"80-89","All","Namur",21054,"Wallonia",90000
"90+","All","Namur",4695,"Wallonia",90000
"All","All","Namur",495832,"Wallonia",90000
"0-9","F","OostVlaanderen",78742,NA,NA
"10-19","F","OostVlaanderen",81521,NA,NA
"20-29","F","OostVlaanderen",91522,NA,NA
"30-39","F","OostVlaanderen",97876,NA,NA
"40-49","F","OostVlaanderen",99384,NA,NA
"50-59","F","OostVlaanderen",106201,NA,NA
"60-69","F","OostVlaanderen",89940,NA,NA
"70-79","F","OostVlaanderen",67606,NA,NA
"80-89","F","OostVlaanderen",47422,NA,NA
"90+","F","OostVlaanderen",11542,NA,NA
"All","F","OostVlaanderen",771756,NA,NA
"0-9","M","OostVlaanderen",82510,NA,NA
"10-19","M","OostVlaanderen",85260,NA,NA
"20-29","M","OostVlaanderen",92891,NA,NA
"30-39","M","OostVlaanderen",98195,NA,NA
"40-49","M","OostVlaanderen",102347,NA,NA
"50-59","M","OostVlaanderen",108688,NA,NA
"60-69","M","OostVlaanderen",88700,NA,NA
"70-79","M","OostVlaanderen",59608,NA,NA
"80-89","M","OostVlaanderen",30831,NA,NA
"90+","M","OostVlaanderen",4469,NA,NA
"All","M","OostVlaanderen",753499,NA,NA
"0-9","All","OostVlaanderen",161252,NA,NA
"10-19","All","OostVlaanderen",166781,NA,NA
"20-29","All","OostVlaanderen",184413,NA,NA
"30-39","All","OostVlaanderen",196071,NA,NA
"40-49","All","OostVlaanderen",201731,NA,NA
