"AGEGROUP","SEX","DISTRICT","POPULATION","REGION","PROVINCE","CD_DSTR_REFNIS"
"0-9","F","Namur",16986,"Wallonia","Namur",92000
"10-19","F","Namur",18651,"Wallonia","Namur",92000
"20-29","F","Namur",19879,"Wallonia","Namur",92000
"30-39","F","Namur",21023,"Wallonia","Namur",92000
"40-49","F","Namur",20861,"Wallonia","Namur",92000
"50-59","F","Namur",21731,"Wallonia","Namur",92000
"60-69","F","Namur",19653,"Wallonia","Namur",92000
"70-79","F","Namur",13374,"Wallonia","Namur",92000
"80-89","F","Namur",8306,"Wallonia","Namur",92000
"90+","F","Namur",2296,"Wallonia","Namur",92000
"All","F","Namur",162760,"Wallonia","Namur",92000
"0-9","M","Namur",17610,"Wallonia","Namur",92000
"10-19","M","Namur",19463,"Wallonia","Namur",92000
"20-29","M","Namur",20564,"Wallonia","Namur",92000
"30-39","M","Namur",20847,"Wallonia","Namur",92000
"40-49","M","Namur",20953,"Wallonia","Namur",92000
"50-59","M","Namur",21243,"Wallonia","Namur",92000
"60-69","M","Namur",18137,"Wallonia","Namur",92000
"70-79","M","Namur",11050,"Wallonia","Namur",92000
"80-89","M","Namur",4868,"Wallonia","Namur",92000
"90+","M","Namur",736,"Wallonia","Namur",92000
"All","M","Namur",155471,"Wallonia","Namur",92000
"0-9","All","Namur",34596,"Wallonia","Namur",92000
"10-19","All","Namur",38114,"Wallonia","Namur",92000
"20-29","All","Namur",40443,"Wallonia","Namur",92000
"30-39","All","Namur",41870,"Wallonia","Namur",92000
"40-49","All","Namur",41814,"Wallonia","Namur",92000
"50-59","All","Namur",42974,"Wallonia","Namur",92000
"60-69","All","Namur",37790,"Wallonia","Namur",92000
"70-79","All","Namur",24424,"Wallonia","Namur",92000
"80-89","All","Namur",13174,"Wallonia","Namur",92000
"90+","All","Namur",3032,"Wallonia","Namur",92000
"All","All","Namur",318231,"Wallonia","Namur",92000
"0-9","F","Neufchâteau",3675,"Wallonia","Luxembourg",84000
"10-19","F","Neufchâteau",4007,"Wallonia","Luxembourg",84000
"20-29","F","Neufchâteau",3863,"Wallonia","Luxembourg",84000
"30-39","F","Neufchâteau",4041,"Wallonia","Luxembourg",84000
"40-49","F","Neufchâteau",4019,"Wallonia","Luxembourg",84000
"50-59","F","Neufchâteau",4147,"Wallonia","Luxembourg",84000
"60-69","F","Neufchâteau",3701,"Wallonia","Luxembourg",84000
"70-79","F","Neufchâteau",2451,"Wallonia","Luxembourg",84000
"80-89","F","Neufchâteau",1653,"Wallonia","Luxembourg",84000
"90+","F","Neufchâteau",461,"Wallonia","Luxembourg",84000
"All","F","Neufchâteau",32018,"Wallonia","Luxembourg",84000
"0-9","M","Neufchâteau",3889,"Wallonia","Luxembourg",84000
"10-19","M","Neufchâteau",4173,"Wallonia","Luxembourg",84000
"20-29","M","Neufchâteau",3966,"Wallonia","Luxembourg",84000
"30-39","M","Neufchâteau",4124,"Wallonia","Luxembourg",84000
"40-49","M","Neufchâteau",4190,"Wallonia","Luxembourg",84000
"50-59","M","Neufchâteau",4287,"Wallonia","Luxembourg",84000
"60-69","M","Neufchâteau",3650,"Wallonia","Luxembourg",84000
"70-79","M","Neufchâteau",2264,"Wallonia","Luxembourg",84000
"80-89","M","Neufchâteau",1030,"Wallonia","Luxembourg",84000
"90+","M","Neufchâteau",172,"Wallonia","Luxembourg",84000
"All","M","Neufchâteau",31745,"Wallonia","Luxembourg",84000
"0-9","All","Neufchâteau",7564,"Wallonia","Luxembourg",84000
"10-19","All","Neufchâteau",8180,"Wallonia","Luxembourg",84000
"20-29","All","Neufchâteau",7829,"Wallonia","Luxembourg",84000
"30-39","All","Neufchâteau",8165,"Wallonia","Luxembourg",84000
"40-49","All","Neufchâteau",8209,"Wallonia","Luxembourg",84000
"50-59","All","Neufchâteau",8434,"Wallonia","Luxembourg",84000
"60-69","All","Neufchâteau",7351,"Wallonia","Luxembourg",84000
"70-79","All","Neufchâteau",4715,"Wallonia","Luxembourg",84000
"80-89","All","Neufchâteau",2683,"Wallonia","Luxembourg",84000
"90+","All","Neufchâteau",633,"Wallonia","Luxembourg",84000
"All","All","Neufchâteau",63763,"Wallonia","Luxembourg",84000
"0-9","F","Nivelles",21265,"Wallonia","Brabant wallon",25000
"10-19","F","Nivelles",24420,"Wallonia","Brabant wallon",25000
"20-29","F","Nivelles",23819,"Wallonia","Brabant wallon",25000
"30-39","F","Nivelles",24572,"Wallonia","Brabant wallon",25000
"40-49","F","Nivelles",27948,"Wallonia","Brabant wallon",25000
"50-59","F","Nivelles",29056,"Wallonia","Brabant wallon",25000
"60-69","F","Nivelles",25374,"Wallonia","Brabant wallon",25000
"70-79","F","Nivelles",18614,"Wallonia","Brabant wallon",25000
"80-89","F","Nivelles",10911,"Wallonia","Brabant wallon",25000
"90+","F","Nivelles",3006,"Wallonia","Brabant wallon",25000
"All","F","Nivelles",208985,"Wallonia","Brabant wallon",25000
"0-9","M","Nivelles",22092,"Wallonia","Brabant wallon",25000
"10-19","M","Nivelles",25797,"Wallonia","Brabant wallon",25000
"20-29","M","Nivelles",24858,"Wallonia","Brabant wallon",25000
"30-39","M","Nivelles",23850,"Wallonia","Brabant wallon",25000
"40-49","M","Nivelles",26343,"Wallonia","Brabant wallon",25000
"50-59","M","Nivelles",27817,"Wallonia","Brabant wallon",25000
"60-69","M","Nivelles",22716,"Wallonia","Brabant wallon",25000
"70-79","M","Nivelles",15328,"Wallonia","Brabant wallon",25000
"80-89","M","Nivelles",7062,"Wallonia","Brabant wallon",25000
"90+","M","Nivelles",1171,"Wallonia","Brabant wallon",25000
"All","M","Nivelles",197034,"Wallonia","Brabant wallon",25000
"0-9","All","Nivelles",43357,"Wallonia","Brabant wallon",25000
"10-19","All","Nivelles",50217,"Wallonia","Brabant wallon",25000
"20-29","All","Nivelles",48677,"Wallonia","Brabant wallon",25000
"30-39","All","Nivelles",48422,"Wallonia","Brabant wallon",25000
"40-49","All","Nivelles",54291,"Wallonia","Brabant wallon",25000
"50-59","All","Nivelles",56873,"Wallonia","Brabant wallon",25000
"60-69","All","Nivelles",48090,"Wallonia","Brabant wallon",25000
"70-79","All","Nivelles",33942,"Wallonia","Brabant wallon",25000
"80-89","All","Nivelles",17973,"Wallonia","Brabant wallon",25000
"90+","All","Nivelles",4177,"Wallonia","Brabant wallon",25000
"All","All","Nivelles",406019,"Wallonia","Brabant wallon",25000
"0-9","F","Oostende",6601,"Flanders","West-Vlaanderen",35000
"10-19","F","Oostende",7188,"Flanders","West-Vlaanderen",35000
"20-29","F","Oostende",7723,"Flanders","West-Vlaanderen",35000
"30-39","F","Oostende",8178,"Flanders","West-Vlaanderen",35000
"40-49","F","Oostende",8828,"Flanders","West-Vlaanderen",35000
"50-59","F","Oostende",11560,"Flanders","West-Vlaanderen",35000
"60-69","F","Oostende",12108,"Flanders","West-Vlaanderen",35000
"70-79","F","Oostende",9756,"Flanders","West-Vlaanderen",35000
"80-89","F","Oostende",6392,"Flanders","West-Vlaanderen",35000
"90+","F","Oostende",1538,"Flanders","West-Vlaanderen",35000
"All","F","Oostende",79872,"Flanders","West-Vlaanderen",35000
"0-9","M","Oostende",6978,"Flanders","West-Vlaanderen",35000
"10-19","M","Oostende",7375,"Flanders","West-Vlaanderen",35000
"20-29","M","Oostende",8506,"Flanders","West-Vlaanderen",35000
"30-39","M","Oostende",8555,"Flanders","West-Vlaanderen",35000
"40-49","M","Oostende",9220,"Flanders","West-Vlaanderen",35000
"50-59","M","Oostende",11751,"Flanders","West-Vlaanderen",35000
"60-69","M","Oostende",11836,"Flanders","West-Vlaanderen",35000
"70-79","M","Oostende",8698,"Flanders","West-Vlaanderen",35000
"80-89","M","Oostende",4305,"Flanders","West-Vlaanderen",35000
"90+","M","Oostende",684,"Flanders","West-Vlaanderen",35000
"All","M","Oostende",77908,"Flanders","West-Vlaanderen",35000
"0-9","All","Oostende",13579,"Flanders","West-Vlaanderen",35000
"10-19","All","Oostende",14563,"Flanders","West-Vlaanderen",35000
"20-29","All","Oostende",16229,"Flanders","West-Vlaanderen",35000
"30-39","All","Oostende",16733,"Flanders","West-Vlaanderen",35000
"40-49","All","Oostende",18048,"Flanders","West-Vlaanderen",35000
"50-59","All","Oostende",23311,"Flanders","West-Vlaanderen",35000
"60-69","All","Oostende",23944,"Flanders","West-Vlaanderen",35000
"70-79","All","Oostende",18454,"Flanders","West-Vlaanderen",35000
"80-89","All","Oostende",10697,"Flanders","West-Vlaanderen",35000
"90+","All","Oostende",2222,"Flanders","West-Vlaanderen",35000
"All","All","Oostende",157780,"Flanders","West-Vlaanderen",35000
"0-9","F","Oudenaarde",6378,"Flanders","Oost-Vlaanderen",45000
"10-19","F","Oudenaarde",7018,"Flanders","Oost-Vlaanderen",45000
"20-29","F","Oudenaarde",6771,"Flanders","Oost-Vlaanderen",45000
"30-39","F","Oudenaarde",7375,"Flanders","Oost-Vlaanderen",45000
"40-49","F","Oudenaarde",8232,"Flanders","Oost-Vlaanderen",45000
"50-59","F","Oudenaarde",8933,"Flanders","Oost-Vlaanderen",45000
"60-69","F","Oudenaarde",7471,"Flanders","Oost-Vlaanderen",45000
"70-79","F","Oudenaarde",5506,"Flanders","Oost-Vlaanderen",45000
"80-89","F","Oudenaarde",4180,"Flanders","Oost-Vlaanderen",45000
"90+","F","Oudenaarde",1153,"Flanders","Oost-Vlaanderen",45000
"All","F","Oudenaarde",63017,"Flanders","Oost-Vlaanderen",45000
"0-9","M","Oudenaarde",6595,"Flanders","Oost-Vlaanderen",45000
"10-19","M","Oudenaarde",7371,"Flanders","Oost-Vlaanderen",45000
"20-29","M","Oudenaarde",6924,"Flanders","Oost-Vlaanderen",45000
"30-39","M","Oudenaarde",7345,"Flanders","Oost-Vlaanderen",45000
"40-49","M","Oudenaarde",8478,"Flanders","Oost-Vlaanderen",45000
"50-59","M","Oudenaarde",9485,"Flanders","Oost-Vlaanderen",45000
"60-69","M","Oudenaarde",7603,"Flanders","Oost-Vlaanderen",45000
"70-79","M","Oudenaarde",4728,"Flanders","Oost-Vlaanderen",45000
"80-89","M","Oudenaarde",2664,"Flanders","Oost-Vlaanderen",45000
"90+","M","Oudenaarde",400,"Flanders","Oost-Vlaanderen",45000
"All","M","Oudenaarde",61593,"Flanders","Oost-Vlaanderen",45000
"0-9","All","Oudenaarde",12973,"Flanders","Oost-Vlaanderen",45000
"10-19","All","Oudenaarde",14389,"Flanders","Oost-Vlaanderen",45000
"20-29","All","Oudenaarde",13695,"Flanders","Oost-Vlaanderen",45000
"30-39","All","Oudenaarde",14720,"Flanders","Oost-Vlaanderen",45000
"40-49","All","Oudenaarde",16710,"Flanders","Oost-Vlaanderen",45000
"50-59","All","Oudenaarde",18418,"Flanders","Oost-Vlaanderen",45000
"60-69","All","Oudenaarde",15074,"Flanders","Oost-Vlaanderen",45000
"70-79","All","Oudenaarde",10234,"Flanders","Oost-Vlaanderen",45000
"80-89","All","Oudenaarde",6844,"Flanders","Oost-Vlaanderen",45000
"90+","All","Oudenaarde",1553,"Flanders","Oost-Vlaanderen",45000
"All","All","Oudenaarde",124610,"Flanders","Oost-Vlaanderen",45000
"0-9","F","Philippeville",3212,"Wallonia","Namur",93000
"10-19","F","Philippeville",3864,"Wallonia","Namur",93000
"20-29","F","Philippeville",3706,"Wallonia","Namur",93000
"30-39","F","Philippeville",3979,"Wallonia","Namur",93000
"40-49","F","Philippeville",4209,"Wallonia","Namur",93000
"50-59","F","Philippeville",4956,"Wallonia","Namur",93000
"60-69","F","Philippeville",4395,"Wallonia","Namur",93000
"70-79","F","Philippeville",3109,"Wallonia","Namur",93000
"80-89","F","Philippeville",1792,"Wallonia","Namur",93000
"90+","F","Philippeville",437,"Wallonia","Namur",93000
"All","F","Philippeville",33659,"Wallonia","Namur",93000
"0-9","M","Philippeville",3388,"Wallonia","Namur",93000
"10-19","M","Philippeville",3956,"Wallonia","Namur",93000
"20-29","M","Philippeville",3884,"Wallonia","Namur",93000
"30-39","M","Philippeville",3924,"Wallonia","Namur",93000
"40-49","M","Philippeville",4304,"Wallonia","Namur",93000
"50-59","M","Philippeville",4949,"Wallonia","Namur",93000
"60-69","M","Philippeville",4303,"Wallonia","Namur",93000
"70-79","M","Philippeville",2677,"Wallonia","Namur",93000
"80-89","M","Philippeville",1115,"Wallonia","Namur",93000
"90+","M","Philippeville",156,"Wallonia","Namur",93000
"All","M","Philippeville",32656,"Wallonia","Namur",93000
"0-9","All","Philippeville",6600,"Wallonia","Namur",93000
"10-19","All","Philippeville",7820,"Wallonia","Namur",93000
"20-29","All","Philippeville",7590,"Wallonia","Namur",93000
"30-39","All","Philippeville",7903,"Wallonia","Namur",93000
"40-49","All","Philippeville",8513,"Wallonia","Namur",93000
"50-59","All","Philippeville",9905,"Wallonia","Namur",93000
"60-69","All","Philippeville",8698,"Wallonia","Namur",93000
"70-79","All","Philippeville",5786,"Wallonia","Namur",93000
"80-89","All","Philippeville",2907,"Wallonia","Namur",93000
"90+","All","Philippeville",593,"Wallonia","Namur",93000
"All","All","Philippeville",66315,"Wallonia","Namur",93000
"0-9","F","Roeselare",8064,"Flanders","West-Vlaanderen",36000
"10-19","F","Roeselare",8188,"Flanders","West-Vlaanderen",36000
"20-29","F","Roeselare",9195,"Flanders","West-Vlaanderen",36000
"30-39","F","Roeselare",9366,"Flanders","West-Vlaanderen",36000
"40-49","F","Roeselare",9739,"Flanders","West-Vlaanderen",36000
"50-59","F","Roeselare",10535,"Flanders","West-Vlaanderen",36000
"60-69","F","Roeselare",8689,"Flanders","West-Vlaanderen",36000
"70-79","F","Roeselare",7170,"Flanders","West-Vlaanderen",36000
"80-89","F","Roeselare",5237,"Flanders","West-Vlaanderen",36000
"90+","F","Roeselare",1365,"Flanders","West-Vlaanderen",36000
"All","F","Roeselare",77548,"Flanders","West-Vlaanderen",36000
"0-9","M","Roeselare",8224,"Flanders","West-Vlaanderen",36000
"10-19","M","Roeselare",8485,"Flanders","West-Vlaanderen",36000
"20-29","M","Roeselare",9574,"Flanders","West-Vlaanderen",36000
"30-39","M","Roeselare",10183,"Flanders","West-Vlaanderen",36000
"40-49","M","Roeselare",10252,"Flanders","West-Vlaanderen",36000
"50-59","M","Roeselare",11035,"Flanders","West-Vlaanderen",36000
"60-69","M","Roeselare",8792,"Flanders","West-Vlaanderen",36000
"70-79","M","Roeselare",6316,"Flanders","West-Vlaanderen",36000
"80-89","M","Roeselare",3580,"Flanders","West-Vlaanderen",36000
"90+","M","Roeselare",505,"Flanders","West-Vlaanderen",36000
"All","M","Roeselare",76946,"Flanders","West-Vlaanderen",36000
"0-9","All","Roeselare",16288,"Flanders","West-Vlaanderen",36000
"10-19","All","Roeselare",16673,"Flanders","West-Vlaanderen",36000
"20-29","All","Roeselare",18769,"Flanders","West-Vlaanderen",36000
"30-39","All","Roeselare",19549,"Flanders","West-Vlaanderen",36000
"40-49","All","Roeselare",19991,"Flanders","West-Vlaanderen",36000
"50-59","All","Roeselare",21570,"Flanders","West-Vlaanderen",36000
"60-69","All","Roeselare",17481,"Flanders","West-Vlaanderen",36000
"70-79","All","Roeselare",13486,"Flanders","West-Vlaanderen",36000
"80-89","All","Roeselare",8817,"Flanders","West-Vlaanderen",36000
"90+","All","Roeselare",1870,"Flanders","West-Vlaanderen",36000
"All","All","Roeselare",154494,"Flanders","West-Vlaanderen",36000
"0-9","F","Sint-Niklaas",14080,"Flanders","Oost-Vlaanderen",46000
"10-19","F","Sint-Niklaas",14524,"Flanders","Oost-Vlaanderen",46000
"20-29","F","Sint-Niklaas",14894,"Flanders","Oost-Vlaanderen",46000
"30-39","F","Sint-Niklaas",15838,"Flanders","Oost-Vlaanderen",46000
"40-49","F","Sint-Niklaas",16546,"Flanders","Oost-Vlaanderen",46000
"50-59","F","Sint-Niklaas",17601,"Flanders","Oost-Vlaanderen",46000
"60-69","F","Sint-Niklaas",14993,"Flanders","Oost-Vlaanderen",46000
"70-79","F","Sint-Niklaas",11637,"Flanders","Oost-Vlaanderen",46000
"80-89","F","Sint-Niklaas",7400,"Flanders","Oost-Vlaanderen",46000
"90+","F","Sint-Niklaas",1691,"Flanders","Oost-Vlaanderen",46000
"All","F","Sint-Niklaas",129204,"Flanders","Oost-Vlaanderen",46000
"0-9","M","Sint-Niklaas",14535,"Flanders","Oost-Vlaanderen",46000
"10-19","M","Sint-Niklaas",14989,"Flanders","Oost-Vlaanderen",46000
"20-29","M","Sint-Niklaas",14781,"Flanders","Oost-Vlaanderen",46000
"30-39","M","Sint-Niklaas",15712,"Flanders","Oost-Vlaanderen",46000
"40-49","M","Sint-Niklaas",16671,"Flanders","Oost-Vlaanderen",46000
"50-59","M","Sint-Niklaas",18006,"Flanders","Oost-Vlaanderen",46000
"60-69","M","Sint-Niklaas",14689,"Flanders","Oost-Vlaanderen",46000
"70-79","M","Sint-Niklaas",10571,"Flanders","Oost-Vlaanderen",46000
"80-89","M","Sint-Niklaas",5012,"Flanders","Oost-Vlaanderen",46000
"90+","M","Sint-Niklaas",680,"Flanders","Oost-Vlaanderen",46000
"All","M","Sint-Niklaas",125646,"Flanders","Oost-Vlaanderen",46000
"0-9","All","Sint-Niklaas",28615,"Flanders","Oost-Vlaanderen",46000
"10-19","All","Sint-Niklaas",29513,"Flanders","Oost-Vlaanderen",46000
"20-29","All","Sint-Niklaas",29675,"Flanders","Oost-Vlaanderen",46000
"30-39","All","Sint-Niklaas",31550,"Flanders","Oost-Vlaanderen",46000
"40-49","All","Sint-Niklaas",33217,"Flanders","Oost-Vlaanderen",46000
"50-59","All","Sint-Niklaas",35607,"Flanders","Oost-Vlaanderen",46000
"60-69","All","Sint-Niklaas",29682,"Flanders","Oost-Vlaanderen",46000
"70-79","All","Sint-Niklaas",22208,"Flanders","Oost-Vlaanderen",46000
"80-89","All","Sint-Niklaas",12412,"Flanders","Oost-Vlaanderen",46000
"90+","All","Sint-Niklaas",2371,"Flanders","Oost-Vlaanderen",46000
"All","All","Sint-Niklaas",254850,"Flanders","Oost-Vlaanderen",46000
"0-9","F","Soignies",5545,"Wallonia","Hainaut",55000
"10-19","F","Soignies",6461,"Wallonia","Hainaut",55000
"20-29","F","Soignies",6080,"Wallonia","Hainaut",55000
"30-39","F","Soignies",6607,"Wallonia","Hainaut",55000
"40-49","F","Soignies",7326,"Wallonia","Hainaut",55000
"50-59","F","Soignies",7380,"Wallonia","Hainaut",55000
"60-69","F","Soignies",6472,"Wallonia","Hainaut",55000
"70-79","F","Soignies",4399,"Wallonia","Hainaut",55000
"80-89","F","Soignies",2601,"Wallonia","Hainaut",55000
"90+","F","Soignies",766,"Wallonia","Hainaut",55000
"All","F","Soignies",53637,"Wallonia","Hainaut",55000
"0-9","M","Soignies",6091,"Wallonia","Hainaut",55000
"10-19","M","Soignies",6753,"Wallonia","Hainaut",55000
"20-29","M","Soignies",6192,"Wallonia","Hainaut",55000
"30-39","M","Soignies",6545,"Wallonia","Hainaut",55000
"40-49","M","Soignies",7112,"Wallonia","Hainaut",55000
"50-59","M","Soignies",7487,"Wallonia","Hainaut",55000
"60-69","M","Soignies",5933,"Wallonia","Hainaut",55000
"70-79","M","Soignies",3658,"Wallonia","Hainaut",55000
"80-89","M","Soignies",1526,"Wallonia","Hainaut",55000
"90+","M","Soignies",245,"Wallonia","Hainaut",55000
"All","M","Soignies",51542,"Wallonia","Hainaut",55000
"0-9","All","Soignies",11636,"Wallonia","Hainaut",55000
"10-19","All","Soignies",13214,"Wallonia","Hainaut",55000
"20-29","All","Soignies",12272,"Wallonia","Hainaut",55000
"30-39","All","Soignies",13152,"Wallonia","Hainaut",55000
"40-49","All","Soignies",14438,"Wallonia","Hainaut",55000
"50-59","All","Soignies",14867,"Wallonia","Hainaut",55000
"60-69","All","Soignies",12405,"Wallonia","Hainaut",55000
"70-79","All","Soignies",8057,"Wallonia","Hainaut",55000
"80-89","All","Soignies",4127,"Wallonia","Hainaut",55000
"90+","All","Soignies",1011,"Wallonia","Hainaut",55000
"All","All","Soignies",105179,"Wallonia","Hainaut",55000
"0-9","F","Thuin",4549,"Wallonia","Hainaut",56000
"10-19","F","Thuin",5331,"Wallonia","Hainaut",56000
"20-29","F","Thuin",5124,"Wallonia","Hainaut",56000
"30-39","F","Thuin",5404,"Wallonia","Hainaut",56000
"40-49","F","Thuin",5838,"Wallonia","Hainaut",56000
"50-59","F","Thuin",6556,"Wallonia","Hainaut",56000
"60-69","F","Thuin",6346,"Wallonia","Hainaut",56000
"70-79","F","Thuin",4217,"Wallonia","Hainaut",56000
"80-89","F","Thuin",2555,"Wallonia","Hainaut",56000
"90+","F","Thuin",681,"Wallonia","Hainaut",56000
"All","F","Thuin",46601,"Wallonia","Hainaut",56000
"0-9","M","Thuin",4789,"Wallonia","Hainaut",56000
"10-19","M","Thuin",5711,"Wallonia","Hainaut",56000
"20-29","M","Thuin",5414,"Wallonia","Hainaut",56000
"30-39","M","Thuin",5505,"Wallonia","Hainaut",56000
"40-49","M","Thuin",5831,"Wallonia","Hainaut",56000
"50-59","M","Thuin",6473,"Wallonia","Hainaut",56000
"60-69","M","Thuin",6000,"Wallonia","Hainaut",56000
"70-79","M","Thuin",3606,"Wallonia","Hainaut",56000
"80-89","M","Thuin",1534,"Wallonia","Hainaut",56000
"90+","M","Thuin",261,"Wallonia","Hainaut",56000
"All","M","Thuin",45124,"Wallonia","Hainaut",56000
"0-9","All","Thuin",9338,"Wallonia","Hainaut",56000
"10-19","All","Thuin",11042,"Wallonia","Hainaut",56000
"20-29","All","Thuin",10538,"Wallonia","Hainaut",56000
"30-39","All","Thuin",10909,"Wallonia","Hainaut",56000
"40-49","All","Thuin",11669,"Wallonia","Hainaut",56000
"50-59","All","Thuin",13029,"Wallonia","Hainaut",56000
"60-69","All","Thuin",12346,"Wallonia","Hainaut",56000
"70-79","All","Thuin",7823,"Wallonia","Hainaut",56000
"80-89","All","Thuin",4089,"Wallonia","Hainaut",56000
"90+","All","Thuin",942,"Wallonia","Hainaut",56000
"All","All","Thuin",91725,"Wallonia","Hainaut",56000
"0-9","F","Tielt",4662,"Flanders","West-Vlaanderen",37000
"10-19","F","Tielt",4904,"Flanders","West-Vlaanderen",37000
"20-29","F","Tielt",5317,"Flanders","West-Vlaanderen",37000
"30-39","F","Tielt",5684,"Flanders","West-Vlaanderen",37000
"40-49","F","Tielt",5915,"Flanders","West-Vlaanderen",37000
"50-59","F","Tielt",6469,"Flanders","West-Vlaanderen",37000
"60-69","F","Tielt",5426,"Flanders","West-Vlaanderen",37000
"70-79","F","Tielt",4057,"Flanders","West-Vlaanderen",37000
"80-89","F","Tielt",3166,"Flanders","West-Vlaanderen",37000
"90+","F","Tielt",864,"Flanders","West-Vlaanderen",37000
"All","F","Tielt",46464,"Flanders","West-Vlaanderen",37000
"0-9","M","Tielt",5046,"Flanders","West-Vlaanderen",37000
"10-19","M","Tielt",5334,"Flanders","West-Vlaanderen",37000
"20-29","M","Tielt",5582,"Flanders","West-Vlaanderen",37000
"30-39","M","Tielt",5886,"Flanders","West-Vlaanderen",37000
"40-49","M","Tielt",6252,"Flanders","West-Vlaanderen",37000
"50-59","M","Tielt",7038,"Flanders","West-Vlaanderen",37000
"60-69","M","Tielt",5544,"Flanders","West-Vlaanderen",37000
"70-79","M","Tielt",3784,"Flanders","West-Vlaanderen",37000
"80-89","M","Tielt",2131,"Flanders","West-Vlaanderen",37000
"90+","M","Tielt",367,"Flanders","West-Vlaanderen",37000
"All","M","Tielt",46964,"Flanders","West-Vlaanderen",37000
"0-9","All","Tielt",9708,"Flanders","West-Vlaanderen",37000
"10-19","All","Tielt",10238,"Flanders","West-Vlaanderen",37000
"20-29","All","Tielt",10899,"Flanders","West-Vlaanderen",37000
"30-39","All","Tielt",11570,"Flanders","West-Vlaanderen",37000
"40-49","All","Tielt",12167,"Flanders","West-Vlaanderen",37000
"50-59","All","Tielt",13507,"Flanders","West-Vlaanderen",37000
"60-69","All","Tielt",10970,"Flanders","West-Vlaanderen",37000
"70-79","All","Tielt",7841,"Flanders","West-Vlaanderen",37000
"80-89","All","Tielt",5297,"Flanders","West-Vlaanderen",37000
"90+","All","Tielt",1231,"Flanders","West-Vlaanderen",37000
"All","All","Tielt",93428,"Flanders","West-Vlaanderen",37000
"0-9","F","Tongeren",9955,"Flanders","Limburg",73000
"10-19","F","Tongeren",10214,"Flanders","Limburg",73000
"20-29","F","Tongeren",10900,"Flanders","Limburg",73000
"30-39","F","Tongeren",12391,"Flanders","Limburg",73000
"40-49","F","Tongeren",13425,"Flanders","Limburg",73000
"50-59","F","Tongeren",15443,"Flanders","Limburg",73000
"60-69","F","Tongeren",13641,"Flanders","Limburg",73000
"70-79","F","Tongeren",9516,"Flanders","Limburg",73000
"80-89","F","Tongeren",5951,"Flanders","Limburg",73000
"90+","F","Tongeren",1331,"Flanders","Limburg",73000
"All","F","Tongeren",102767,"Flanders","Limburg",73000
"0-9","M","Tongeren",10345,"Flanders","Limburg",73000
"10-19","M","Tongeren",10960,"Flanders","Limburg",73000
"20-29","M","Tongeren",11241,"Flanders","Limburg",73000
"30-39","M","Tongeren",12465,"Flanders","Limburg",73000
"40-49","M","Tongeren",13476,"Flanders","Limburg",73000
"50-59","M","Tongeren",16009,"Flanders","Limburg",73000
"60-69","M","Tongeren",13988,"Flanders","Limburg",73000
"70-79","M","Tongeren",8969,"Flanders","Limburg",73000
"80-89","M","Tongeren",4226,"Flanders","Limburg",73000
"90+","M","Tongeren",497,"Flanders","Limburg",73000
"All","M","Tongeren",102176,"Flanders","Limburg",73000
"0-9","All","Tongeren",20300,"Flanders","Limburg",73000
"10-19","All","Tongeren",21174,"Flanders","Limburg",73000
"20-29","All","Tongeren",22141,"Flanders","Limburg",73000
"30-39","All","Tongeren",24856,"Flanders","Limburg",73000
"40-49","All","Tongeren",26901,"Flanders","Limburg",73000
"50-59","All","Tongeren",31452,"Flanders","Limburg",73000
"60-69","All","Tongeren",27629,"Flanders","Limburg",73000
"70-79","All","Tongeren",18485,"Flanders","Limburg",73000
"80-89","All","Tongeren",10177,"Flanders","Limburg",73000
"90+","All","Tongeren",1828,"Flanders","Limburg",73000
"All","All","Tongeren",204943,"Flanders","Limburg",73000
"0-9","F","Tournai-Mouscron",11646,"Wallonia","Hainaut",57000
"10-19","F","Tournai-Mouscron",13180,"Wallonia","Hainaut",57000
"20-29","F","Tournai-Mouscron",12808,"Wallonia","Hainaut",57000
"30-39","F","Tournai-Mouscron",13721,"Wallonia","Hainaut",57000
"40-49","F","Tournai-Mouscron",14796,"Wallonia","Hainaut",57000
"50-59","F","Tournai-Mouscron",15030,"Wallonia","Hainaut",57000
"60-69","F","Tournai-Mouscron",13993,"Wallonia","Hainaut",57000
"70-79","F","Tournai-Mouscron",10198,"Wallonia","Hainaut",57000
"80-89","F","Tournai-Mouscron",6756,"Wallonia","Hainaut",57000
"90+","F","Tournai-Mouscron",2158,"Wallonia","Hainaut",57000
"All","F","Tournai-Mouscron",114286,"Wallonia","Hainaut",57000
"0-9","M","Tournai-Mouscron",12251,"Wallonia","Hainaut",57000
"10-19","M","Tournai-Mouscron",13936,"Wallonia","Hainaut",57000
"20-29","M","Tournai-Mouscron",13534,"Wallonia","Hainaut",57000
"30-39","M","Tournai-Mouscron",14028,"Wallonia","Hainaut",57000
"40-49","M","Tournai-Mouscron",15213,"Wallonia","Hainaut",57000
"50-59","M","Tournai-Mouscron",15360,"Wallonia","Hainaut",57000
"60-69","M","Tournai-Mouscron",12885,"Wallonia","Hainaut",57000
"70-79","M","Tournai-Mouscron",8112,"Wallonia","Hainaut",57000
"80-89","M","Tournai-Mouscron",3588,"Wallonia","Hainaut",57000
"90+","M","Tournai-Mouscron",606,"Wallonia","Hainaut",57000
"All","M","Tournai-Mouscron",109513,"Wallonia","Hainaut",57000
