"AGEGROUP","SEX","DISTRICT","POPULATION","REGION","PROVINCE","CD_DSTR_REFNIS"
"0-9","M","Bastogne",3038,"Wallonia","Luxembourg",82000
"10-19","M","Bastogne",3179,"Wallonia","Luxembourg",82000
"20-29","M","Bastogne",3348,"Wallonia","Luxembourg",82000
"30-39","M","Bastogne",3310,"Wallonia","Luxembourg",82000
"40-49","M","Bastogne",3263,"Wallonia","Luxembourg",82000
"50-59","M","Bastogne",3439,"Wallonia","Luxembourg",82000
"60-69","M","Bastogne",2635,"Wallonia","Luxembourg",82000
"70-79","M","Bastogne",1481,"Wallonia","Luxembourg",82000
"80-89","M","Bastogne",704,"Wallonia","Luxembourg",82000
"90+","M","Bastogne",108,"Wallonia","Luxembourg",82000
"All","M","Bastogne",24505,"Wallonia","Luxembourg",82000
"0-9","All","Bastogne",6014,"Wallonia","Luxembourg",82000
"10-19","All","Bastogne",6305,"Wallonia","Luxembourg",82000
"20-29","All","Bastogne",6465,"Wallonia","Luxembourg",82000
"30-39","All","Bastogne",6487,"Wallonia","Luxembourg",82000
"40-49","All","Bastogne",6434,"Wallonia","Luxembourg",82000
"50-59","All","Bastogne",6621,"Wallonia","Luxembourg",82000
"60-69","All","Bastogne",5262,"Wallonia","Luxembourg",82000
"70-79","All","Bastogne",3236,"Wallonia","Luxembourg",82000
"80-89","All","Bastogne",1876,"Wallonia","Luxembourg",82000
"90+","All","Bastogne",383,"Wallonia","Luxembourg",82000
"All","All","Bastogne",49083,"Wallonia","Luxembourg",82000
"0-9","F","Brugge",11845,"Flanders","West-Vlaanderen",31000
"10-19","F","Brugge",13240,"Flanders","West-Vlaanderen",31000
"20-29","F","Brugge",15359,"Flanders","West-Vlaanderen",31000
"30-39","F","Brugge",15340,"Flanders","West-Vlaanderen",31000
"40-49","F","Brugge",17314,"Flanders","West-Vlaanderen",31000
"50-59","F","Brugge",20865,"Flanders","West-Vlaanderen",31000
"60-69","F","Brugge",20084,"Flanders","West-Vlaanderen",31000
"70-79","F","Brugge",15962,"Flanders","West-Vlaanderen",31000
"80-89","F","Brugge",10824,"Flanders","West-Vlaanderen",31000
"90+","F","Brugge",2743,"Flanders","West-Vlaanderen",31000
"All","F","Brugge",143576,"Flanders","West-Vlaanderen",31000
"0-9","M","Brugge",12666,"Flanders","West-Vlaanderen",31000
"10-19","M","Brugge",14034,"Flanders","West-Vlaanderen",31000
"20-29","M","Brugge",16098,"Flanders","West-Vlaanderen",31000
"30-39","M","Brugge",15841,"Flanders","West-Vlaanderen",31000
"40-49","M","Brugge",17169,"Flanders","West-Vlaanderen",31000
"50-59","M","Brugge",20998,"Flanders","West-Vlaanderen",31000
"60-69","M","Brugge",19320,"Flanders","West-Vlaanderen",31000
"70-79","M","Brugge",14312,"Flanders","West-Vlaanderen",31000
"80-89","M","Brugge",7518,"Flanders","West-Vlaanderen",31000
"90+","M","Brugge",1213,"Flanders","West-Vlaanderen",31000
"All","M","Brugge",139169,"Flanders","West-Vlaanderen",31000
"0-9","All","Brugge",24511,"Flanders","West-Vlaanderen",31000
"10-19","All","Brugge",27274,"Flanders","West-Vlaanderen",31000
"20-29","All","Brugge",31457,"Flanders","West-Vlaanderen",31000
"30-39","All","Brugge",31181,"Flanders","West-Vlaanderen",31000
"40-49","All","Brugge",34483,"Flanders","West-Vlaanderen",31000
"50-59","All","Brugge",41863,"Flanders","West-Vlaanderen",31000
"60-69","All","Brugge",39404,"Flanders","West-Vlaanderen",31000
"70-79","All","Brugge",30274,"Flanders","West-Vlaanderen",31000
"80-89","All","Brugge",18342,"Flanders","West-Vlaanderen",31000
"90+","All","Brugge",3956,"Flanders","West-Vlaanderen",31000
"All","All","Brugge",282745,"Flanders","West-Vlaanderen",31000
"0-9","F","Brussel-Hoofdstad",80026,"Brussels","Brussel",21000
"10-19","F","Brussel-Hoofdstad",68716,"Brussels","Brussel",21000
"20-29","F","Brussel-Hoofdstad",93565,"Brussels","Brussel",21000
"30-39","F","Brussel-Hoofdstad",100893,"Brussels","Brussel",21000
"40-49","F","Brussel-Hoofdstad",83834,"Brussels","Brussel",21000
"50-59","F","Brussel-Hoofdstad",69965,"Brussels","Brussel",21000
"60-69","F","Brussel-Hoofdstad",53482,"Brussels","Brussel",21000
"70-79","F","Brussel-Hoofdstad",37534,"Brussels","Brussel",21000
"80-89","F","Brussel-Hoofdstad",24627,"Brussels","Brussel",21000
"90+","F","Brussel-Hoofdstad",7907,"Brussels","Brussel",21000
"All","F","Brussel-Hoofdstad",620549,"Brussels","Brussel",21000
"0-9","M","Brussel-Hoofdstad",83715,"Brussels","Brussel",21000
"10-19","M","Brussel-Hoofdstad",71746,"Brussels","Brussel",21000
"20-29","M","Brussel-Hoofdstad",88375,"Brussels","Brussel",21000
"30-39","M","Brussel-Hoofdstad",99190,"Brussels","Brussel",21000
"40-49","M","Brussel-Hoofdstad",89943,"Brussels","Brussel",21000
"50-59","M","Brussel-Hoofdstad",72909,"Brussels","Brussel",21000
"60-69","M","Brussel-Hoofdstad",47259,"Brussels","Brussel",21000
