"AGEGROUP","SEX","MUNTY","POPULATION","REGION","PROVINCE","DISTRICT","CD_REFNIS"
"20-29","M","Affligem",644,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"30-39","M","Affligem",792,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"40-49","M","Affligem",934,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"50-59","M","Affligem",957,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"60-69","M","Affligem",791,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"70-79","M","Affligem",543,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"80-89","M","Affligem",246,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"90+","M","Affligem",41,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"All","M","Affligem",6540,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"0-9","All","Affligem",1551,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"10-19","All","Affligem",1613,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"20-29","All","Affligem",1307,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"30-39","All","Affligem",1680,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"40-49","All","Affligem",1863,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"50-59","All","Affligem",1908,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"60-69","All","Affligem",1597,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"70-79","All","Affligem",1163,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"80-89","All","Affligem",571,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"90+","All","Affligem",98,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"All","All","Affligem",13351,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"0-9","F","Aiseau-Presles",542,"Wallonia","Hainaut","Charleroi",52074
"10-19","F","Aiseau-Presles",663,"Wallonia","Hainaut","Charleroi",52074
"20-29","F","Aiseau-Presles",646,"Wallonia","Hainaut","Charleroi",52074
"30-39","F","Aiseau-Presles",687,"Wallonia","Hainaut","Charleroi",52074
"40-49","F","Aiseau-Presles",669,"Wallonia","Hainaut","Charleroi",52074
"50-59","F","Aiseau-Presles",831,"Wallonia","Hainaut","Charleroi",52074
"60-69","F","Aiseau-Presles",732,"Wallonia","Hainaut","Charleroi",52074
"70-79","F","Aiseau-Presles",471,"Wallonia","Hainaut","Charleroi",52074
"80-89","F","Aiseau-Presles",259,"Wallonia","Hainaut","Charleroi",52074
"90+","F","Aiseau-Presles",53,"Wallonia","Hainaut","Charleroi",52074
"All","F","Aiseau-Presles",5553,"Wallonia","Hainaut","Charleroi",52074
"0-9","M","Aiseau-Presles",593,"Wallonia","Hainaut","Charleroi",52074
"10-19","M","Aiseau-Presles",653,"Wallonia","Hainaut","Charleroi",52074
"20-29","M","Aiseau-Presles",620,"Wallonia","Hainaut","Charleroi",52074
"30-39","M","Aiseau-Presles",674,"Wallonia","Hainaut","Charleroi",52074
"40-49","M","Aiseau-Presles",677,"Wallonia","Hainaut","Charleroi",52074
"50-59","M","Aiseau-Presles",743,"Wallonia","Hainaut","Charleroi",52074
"60-69","M","Aiseau-Presles",662,"Wallonia","Hainaut","Charleroi",52074
"70-79","M","Aiseau-Presles",396,"Wallonia","Hainaut","Charleroi",52074
"80-89","M","Aiseau-Presles",150,"Wallonia","Hainaut","Charleroi",52074
"90+","M","Aiseau-Presles",18,"Wallonia","Hainaut","Charleroi",52074
"All","M","Aiseau-Presles",5186,"Wallonia","Hainaut","Charleroi",52074
"0-9","All","Aiseau-Presles",1135,"Wallonia","Hainaut","Charleroi",52074
"10-19","All","Aiseau-Presles",1316,"Wallonia","Hainaut","Charleroi",52074
"20-29","All","Aiseau-Presles",1266,"Wallonia","Hainaut","Charleroi",52074
"30-39","All","Aiseau-Presles",1361,"Wallonia","Hainaut","Charleroi",52074
"40-49","All","Aiseau-Presles",1346,"Wallonia","Hainaut","Charleroi",52074
"50-59","All","Aiseau-Presles",1574,"Wallonia","Hainaut","Charleroi",52074
"60-69","All","Aiseau-Presles",1394,"Wallonia","Hainaut","Charleroi",52074
"70-79","All","Aiseau-Presles",867,"Wallonia","Hainaut","Charleroi",52074
"80-89","All","Aiseau-Presles",409,"Wallonia","Hainaut","Charleroi",52074
"90+","All","Aiseau-Presles",71,"Wallonia","Hainaut","Charleroi",52074
"All","All","Aiseau-Presles",10739,"Wallonia","Hainaut","Charleroi",52074
"0-9","F","Alken",497,"Flanders","Limburg","Tongeren",73001
"10-19","F","Alken",608,"Flanders","Limburg","Tongeren",73001
"20-29","F","Alken",649,"Flanders","Limburg","Tongeren",73001
"30-39","F","Alken",645,"Flanders","Limburg","Tongeren",73001
"40-49","F","Alken",783,"Flanders","Limburg","Tongeren",73001
"50-59","F","Alken",924,"Flanders","Limburg","Tongeren",73001
"60-69","F","Alken",714,"Flanders","Limburg","Tongeren",73001
"70-79","F","Alken",575,"Flanders","Limburg","Tongeren",73001
"80-89","F","Alken",353,"Flanders","Limburg","Tongeren",73001
"90+","F","Alken",75,"Flanders","Limburg","Tongeren",73001
"All","F","Alken",5823,"Flanders","Limburg","Tongeren",73001
"0-9","M","Alken",541,"Flanders","Limburg","Tongeren",73001
"10-19","M","Alken",686,"Flanders","Limburg","Tongeren",73001
"20-29","M","Alken",666,"Flanders","Limburg","Tongeren",73001
"30-39","M","Alken",641,"Flanders","Limburg","Tongeren",73001
"40-49","M","Alken",736,"Flanders","Limburg","Tongeren",73001
"50-59","M","Alken",960,"Flanders","Limburg","Tongeren",73001
"60-69","M","Alken",774,"Flanders","Limburg","Tongeren",73001
"70-79","M","Alken",526,"Flanders","Limburg","Tongeren",73001
"80-89","M","Alken",240,"Flanders","Limburg","Tongeren",73001
"90+","M","Alken",33,"Flanders","Limburg","Tongeren",73001
"All","M","Alken",5803,"Flanders","Limburg","Tongeren",73001
"0-9","All","Alken",1038,"Flanders","Limburg","Tongeren",73001
"10-19","All","Alken",1294,"Flanders","Limburg","Tongeren",73001
"20-29","All","Alken",1315,"Flanders","Limburg","Tongeren",73001
"30-39","All","Alken",1286,"Flanders","Limburg","Tongeren",73001
"40-49","All","Alken",1519,"Flanders","Limburg","Tongeren",73001
"50-59","All","Alken",1884,"Flanders","Limburg","Tongeren",73001
"60-69","All","Alken",1488,"Flanders","Limburg","Tongeren",73001
"70-79","All","Alken",1101,"Flanders","Limburg","Tongeren",73001
"80-89","All","Alken",593,"Flanders","Limburg","Tongeren",73001
"90+","All","Alken",108,"Flanders","Limburg","Tongeren",73001
"All","All","Alken",11626,"Flanders","Limburg","Tongeren",73001
"0-9","F","Alveringem",273,"Flanders","West-Vlaanderen","Veurne",38002
"10-19","F","Alveringem",300,"Flanders","West-Vlaanderen","Veurne",38002
"20-29","F","Alveringem",310,"Flanders","West-Vlaanderen","Veurne",38002
"30-39","F","Alveringem",298,"Flanders","West-Vlaanderen","Veurne",38002
"40-49","F","Alveringem",300,"Flanders","West-Vlaanderen","Veurne",38002
"50-59","F","Alveringem",327,"Flanders","West-Vlaanderen","Veurne",38002
"60-69","F","Alveringem",253,"Flanders","West-Vlaanderen","Veurne",38002
"70-79","F","Alveringem",160,"Flanders","West-Vlaanderen","Veurne",38002
"80-89","F","Alveringem",151,"Flanders","West-Vlaanderen","Veurne",38002
"90+","F","Alveringem",39,"Flanders","West-Vlaanderen","Veurne",38002
"All","F","Alveringem",2411,"Flanders","West-Vlaanderen","Veurne",38002
"0-9","M","Alveringem",323,"Flanders","West-Vlaanderen","Veurne",38002
"10-19","M","Alveringem",297,"Flanders","West-Vlaanderen","Veurne",38002
"20-29","M","Alveringem",331,"Flanders","West-Vlaanderen","Veurne",38002
"30-39","M","Alveringem",321,"Flanders","West-Vlaanderen","Veurne",38002
"40-49","M","Alveringem",316,"Flanders","West-Vlaanderen","Veurne",38002
"50-59","M","Alveringem",388,"Flanders","West-Vlaanderen","Veurne",38002
"60-69","M","Alveringem",266,"Flanders","West-Vlaanderen","Veurne",38002
"70-79","M","Alveringem",193,"Flanders","West-Vlaanderen","Veurne",38002
"80-89","M","Alveringem",117,"Flanders","West-Vlaanderen","Veurne",38002
"90+","M","Alveringem",30,"Flanders","West-Vlaanderen","Veurne",38002
"All","M","Alveringem",2582,"Flanders","West-Vlaanderen","Veurne",38002
"0-9","All","Alveringem",596,"Flanders","West-Vlaanderen","Veurne",38002
"10-19","All","Alveringem",597,"Flanders","West-Vlaanderen","Veurne",38002
"20-29","All","Alveringem",641,"Flanders","West-Vlaanderen","Veurne",38002
"30-39","All","Alveringem",619,"Flanders","West-Vlaanderen","Veurne",38002
"40-49","All","Alveringem",616,"Flanders","West-Vlaanderen","Veurne",38002
"50-59","All","Alveringem",715,"Flanders","West-Vlaanderen","Veurne",38002
"60-69","All","Alveringem",519,"Flanders","West-Vlaanderen","Veurne",38002
"70-79","All","Alveringem",353,"Flanders","West-Vlaanderen","Veurne",38002
"80-89","All","Alveringem",268,"Flanders","West-Vlaanderen","Veurne",38002
"90+","All","Alveringem",69,"Flanders","West-Vlaanderen","Veurne",38002
"All","All","Alveringem",4993,"Flanders","West-Vlaanderen","Veurne",38002
"0-9","F","Amay",816,"Wallonia","Liège","Huy",61003
"10-19","F","Amay",890,"Wallonia","Liège","Huy",61003
"20-29","F","Amay",850,"Wallonia","Liège","Huy",61003
"30-39","F","Amay",949,"Wallonia","Liège","Huy",61003
"40-49","F","Amay",973,"Wallonia","Liège","Huy",61003
"50-59","F","Amay",978,"Wallonia","Liège","Huy",61003
"60-69","F","Amay",917,"Wallonia","Liège","Huy",61003
"70-79","F","Amay",596,"Wallonia","Liège","Huy",61003
"80-89","F","Amay",365,"Wallonia","Liège","Huy",61003
"90+","F","Amay",68,"Wallonia","Liège","Huy",61003
"All","F","Amay",7402,"Wallonia","Liège","Huy",61003
"0-9","M","Amay",811,"Wallonia","Liège","Huy",61003
"10-19","M","Amay",913,"Wallonia","Liège","Huy",61003
"20-29","M","Amay",846,"Wallonia","Liège","Huy",61003
"30-39","M","Amay",924,"Wallonia","Liège","Huy",61003
"40-49","M","Amay",982,"Wallonia","Liège","Huy",61003
"50-59","M","Amay",958,"Wallonia","Liège","Huy",61003
"60-69","M","Amay",827,"Wallonia","Liège","Huy",61003
"70-79","M","Amay",505,"Wallonia","Liège","Huy",61003
"80-89","M","Amay",212,"Wallonia","Liège","Huy",61003
"90+","M","Amay",26,"Wallonia","Liège","Huy",61003
"All","M","Amay",7004,"Wallonia","Liège","Huy",61003
"0-9","All","Amay",1627,"Wallonia","Liège","Huy",61003
"10-19","All","Amay",1803,"Wallonia","Liège","Huy",61003
"20-29","All","Amay",1696,"Wallonia","Liège","Huy",61003
"30-39","All","Amay",1873,"Wallonia","Liège","Huy",61003
"40-49","All","Amay",1955,"Wallonia","Liège","Huy",61003
"50-59","All","Amay",1936,"Wallonia","Liège","Huy",61003
"60-69","All","Amay",1744,"Wallonia","Liège","Huy",61003
"70-79","All","Amay",1101,"Wallonia","Liège","Huy",61003
"80-89","All","Amay",577,"Wallonia","Liège","Huy",61003
"90+","All","Amay",94,"Wallonia","Liège","Huy",61003
"All","All","Amay",14406,"Wallonia","Liège","Huy",61003
"0-9","F","Amblève",271,"Wallonia","Liège","Verviers",63001
"10-19","F","Amblève",292,"Wallonia","Liège","Verviers",63001
"20-29","F","Amblève",336,"Wallonia","Liège","Verviers",63001
"30-39","F","Amblève",301,"Wallonia","Liège","Verviers",63001
"40-49","F","Amblève",315,"Wallonia","Liège","Verviers",63001
"50-59","F","Amblève",452,"Wallonia","Liège","Verviers",63001
"60-69","F","Amblève",280,"Wallonia","Liège","Verviers",63001
"70-79","F","Amblève",218,"Wallonia","Liège","Verviers",63001
"80-89","F","Amblève",167,"Wallonia","Liège","Verviers",63001
"90+","F","Amblève",33,"Wallonia","Liège","Verviers",63001
"All","F","Amblève",2665,"Wallonia","Liège","Verviers",63001
"0-9","M","Amblève",299,"Wallonia","Liège","Verviers",63001
"10-19","M","Amblève",322,"Wallonia","Liège","Verviers",63001
"20-29","M","Amblève",374,"Wallonia","Liège","Verviers",63001
"30-39","M","Amblève",306,"Wallonia","Liège","Verviers",63001
"40-49","M","Amblève",325,"Wallonia","Liège","Verviers",63001
"50-59","M","Amblève",507,"Wallonia","Liège","Verviers",63001
"60-69","M","Amblève",332,"Wallonia","Liège","Verviers",63001
